species	imgt_gene_id	functionality	gene_definition	allele_count	chromosome	chromosomal_localization	ligm_db_accessions	ncbi_gene_id
Danio rerio	TRAV7-4	F	Danio rerio T cell receptor alpha variable 7-4	2	2		NW_003334160	-
Danio rerio	TRAV7-5	F	Danio rerio T cell receptor alpha variable 7-5	3	2		NW_003334160	-
Danio rerio	TRAV70-1	F	Danio rerio T cell receptor alpha variable 70-1	2	2		NW_003334160	-
Danio rerio	TRAV71-1	F	Danio rerio T cell receptor alpha variable 71-1	2	2		NW_003334160	-
Danio rerio	TRAV71-2	F	Danio rerio T cell receptor alpha variable 71-2	2	2		NW_003334160	-
Danio rerio	TRAV72-1	F	Danio rerio T cell receptor alpha variable 72-1	2	2		NW_003334160	-
Danio rerio	TRAV72-2	F	Danio rerio T cell receptor alpha variable 72-2	2	2		NW_003334160	-
Danio rerio	TRAV72-3	F  P	Danio rerio T cell receptor alpha variable 72-3	2	2		NW_003334160	-
Danio rerio	TRAV72-4	F	Danio rerio T cell receptor alpha variable 72-4	2	2		NW_003334160	-
Danio rerio	TRAV73-1	ORF	Danio rerio T cell receptor alpha variable 73-1	1	2		NW_003334160	-
Danio rerio	TRAV73-2	F  P	Danio rerio T cell receptor alpha variable 73-2	2	2		NW_003334160	-
Danio rerio	TRAV73-3	F	Danio rerio T cell receptor alpha variable 73-3	2	2		NW_003334160	-
Danio rerio	TRAV74-1	F  P	Danio rerio T cell receptor alpha variable 74-1	2	2		NW_003334160	-
Danio rerio	TRAV75-1	F	Danio rerio T cell receptor alpha variable 75-1	2	2		NW_003334160	-
Danio rerio	TRAV8-1	P	Danio rerio T cell receptor alpha variable 8-1	1	2		NW_003334160	-
Danio rerio	TRAV9-1	F  ORF	Danio rerio T cell receptor alpha variable 9-1	2	2		NW_003334160	-
Danio rerio	TRAV9-2	F	Danio rerio T cell receptor alpha variable 9-2	2	2		NW_003334160	-
Danio rerio	TRAV9-3	F	Danio rerio T cell receptor alpha variable 9-3	2	2		NW_003334160	-
Danio rerio	TRAV9-4	F	Danio rerio T cell receptor alpha variable 9-4	2	2		NW_003334160	-
Danio rerio	TRAV9-5	F	Danio rerio T cell receptor alpha variable 9-5	2	2		NW_003334160	-
Danio rerio	TRAV9-5-1	F	Danio rerio T cell receptor alpha variable 9-5-1	1	2		AL591481	-
Danio rerio	TRAV9-6	F	Danio rerio T cell receptor alpha variable 9-6	3	2		NW_003334160	-
Danio rerio	TRDC	F	Danio rerio T cell receptor delta constant	1	2		NW_003334160	-
Danio rerio	TRDD1	F	Danio rerio T cell receptor delta diversity 1	1	2		NW_003334160	-
Danio rerio	TRDD2	F	Danio rerio T cell receptor delta diversity 2	1	2		NW_003334160	-
Danio rerio	TRDD3	F	Danio rerio T cell receptor delta diversity 3	1	2		NW_003334160	-
Danio rerio	TRDD4	F	Danio rerio T cell receptor delta diversity 4	1	2		NW_003334160	-
Danio rerio	TRDD5	F	Danio rerio T cell receptor delta diversity 5	1	2		NW_003334160	-
Danio rerio	TRDD6	F	Danio rerio T cell receptor delta diversity 6	1	2		NW_003334160	-
Danio rerio	TRDJ1	ORF	Danio rerio T cell receptor delta joining 1	1	2		NW_003334160	-
Danio rerio	TRDJ2	ORF	Danio rerio T cell receptor delta joining 2	1	2		NW_003334160	-
Felis catus	TRAC	F	Felis catus T cell receptor alpha constant	1	B3		IMGT000045	-
Felis catus	TRAJ1	ORF	Felis catus T cell receptor alpha joining 1	1	B3		IMGT000045	-
Felis catus	TRAJ10	ORF	Felis catus T cell receptor alpha joining 10	1	B3		IMGT000045	-
Felis catus	TRAJ11	F	Felis catus T cell receptor alpha joining 11	1	B3		IMGT000045	-
Felis catus	TRAJ12	ORF	Felis catus T cell receptor alpha joining 12	1	B3		IMGT000045	-
Felis catus	TRAJ13	F	Felis catus T cell receptor alpha joining 13	1	B3		IMGT000045	-
Felis catus	TRAJ14	ORF	Felis catus T cell receptor alpha joining 14	1	B3		IMGT000045	-
Felis catus	TRAJ15	F	Felis catus T cell receptor alpha joining 15	1	B3		IMGT000045	-
Felis catus	TRAJ16	F	Felis catus T cell receptor alpha joining 16	1	B3		IMGT000045	-
Felis catus	TRAJ17	ORF	Felis catus T cell receptor alpha joining 17	1	B3		IMGT000045	-
Felis catus	TRAJ18	F	Felis catus T cell receptor alpha joining 18	1	B3		IMGT000045	-
Felis catus	TRAJ19	ORF	Felis catus T cell receptor alpha joining 19	1	B3		IMGT000045	-
Felis catus	TRAJ2	F	Felis catus T cell receptor alpha joining 2	1	B3		IMGT000045	-
Felis catus	TRAJ20	F	Felis catus T cell receptor alpha joining 20	1	B3		IMGT000045	-
Felis catus	TRAJ21	F	Felis catus T cell receptor alpha joining 21	1	B3		IMGT000045	-
Felis catus	TRAJ22	F	Felis catus T cell receptor alpha joining 22	1	B3		IMGT000045	-
Felis catus	TRAJ23	F	Felis catus T cell receptor alpha joining 23	1	B3		IMGT000045	-
Felis catus	TRAJ24	F	Felis catus T cell receptor alpha joining 24	1	B3		IMGT000045	-
Felis catus	TRAJ25	F	Felis catus T cell receptor alpha joining 25	1	B3		IMGT000045	-
Felis catus	TRAJ26	F	Felis catus T cell receptor alpha joining 26	1	B3		IMGT000045	-
Felis catus	TRAJ27	F	Felis catus T cell receptor alpha joining 27	1	B3		IMGT000045	-
Felis catus	TRAJ28	ORF	Felis catus T cell receptor alpha joining 28	1	B3		IMGT000045	-
Felis catus	TRAJ29	F	Felis catus T cell receptor alpha joining 29	1	B3		IMGT000045	-
Felis catus	TRAJ3	ORF	Felis catus T cell receptor alpha joining 3	1	B3		IMGT000045	-
Felis catus	TRAJ30	F	Felis catus T cell receptor alpha joining 30	1	B3		IMGT000045	-
Felis catus	TRAJ31	ORF	Felis catus T cell receptor alpha joining 31	1	B3		IMGT000045	-
Felis catus	TRAJ32	F	Felis catus T cell receptor alpha joining 32	1	B3		IMGT000045	-
Felis catus	TRAJ33	F	Felis catus T cell receptor alpha joining 33	1	B3		IMGT000045	-
Felis catus	TRAJ34	F	Felis catus T cell receptor alpha joining 34	1	B3		IMGT000045	-
Felis catus	TRAJ35	F	Felis catus T cell receptor alpha joining 35	1	B3		IMGT000045	-
Felis catus	TRAJ36	F	Felis catus T cell receptor alpha joining 36	1	B3		IMGT000045	-
Felis catus	TRAJ37	ORF	Felis catus T cell receptor alpha joining 37	1	B3		IMGT000045	-
Felis catus	TRAJ38	F	Felis catus T cell receptor alpha joining 38	1	B3		IMGT000045	-
Felis catus	TRAJ39	F	Felis catus T cell receptor alpha joining 39	1	B3		IMGT000045	-
Felis catus	TRAJ4	ORF	Felis catus T cell receptor alpha joining 4	1	B3		IMGT000045	-
Felis catus	TRAJ40	F	Felis catus T cell receptor alpha joining 40	1	B3		IMGT000045	-
Felis catus	TRAJ41	ORF	Felis catus T cell receptor alpha joining 41	1	B3		IMGT000045	-
Felis catus	TRAJ42	F	Felis catus T cell receptor alpha joining 42	1	B3		IMGT000045	-
Felis catus	TRAJ43	F	Felis catus T cell receptor alpha joining 43	1	B3		IMGT000045	-
Felis catus	TRAJ44	F	Felis catus T cell receptor alpha joining 44	1	B3		IMGT000045	-
Felis catus	TRAJ45	F	Felis catus T cell receptor alpha joining 45	1	B3		IMGT000045	-
Felis catus	TRAJ46	ORF	Felis catus T cell receptor alpha joining 46	1	B3		IMGT000045	-
Felis catus	TRAJ47	F	Felis catus T cell receptor alpha joining 47	1	B3		IMGT000045	-
Felis catus	TRAJ48	F	Felis catus T cell receptor alpha joining 48	1	B3		IMGT000045	-
Felis catus	TRAJ49	F	Felis catus T cell receptor alpha joining 49	1	B3		IMGT000045	-
Felis catus	TRAJ5	F	Felis catus T cell receptor alpha joining 5	1	B3		IMGT000045	-
Felis catus	TRAJ50	F	Felis catus T cell receptor alpha joining 50	1	B3		IMGT000045	-
Felis catus	TRAJ51	P	Felis catus T cell receptor alpha joining 51	1	B3		IMGT000045	-
Felis catus	TRAJ52	F	Felis catus T cell receptor alpha joining 52	1	B3		IMGT000045	-
Felis catus	TRAJ53	F	Felis catus T cell receptor alpha joining 53	1	B3		IMGT000045	-
Felis catus	TRAJ54	F	Felis catus T cell receptor alpha joining 54	1	B3		IMGT000045	-
Felis catus	TRAJ55	P	Felis catus T cell receptor alpha joining 55	1	B3		IMGT000045	-
Felis catus	TRAJ56	F	Felis catus T cell receptor alpha joining 56	1	B3		IMGT000045	-
Felis catus	TRAJ57	ORF	Felis catus T cell receptor alpha joining 57	1	B3		IMGT000045	-
Felis catus	TRAJ58	ORF	Felis catus T cell receptor alpha joining 58	1	B3		IMGT000045	-
Felis catus	TRAJ59	F	Felis catus T cell receptor alpha joining 59	1	B3		IMGT000045	-
Felis catus	TRAJ6	ORF	Felis catus T cell receptor alpha joining 6	1	B3		IMGT000045	-
Felis catus	TRAJ60	ORF	Felis catus T cell receptor alpha joining 60	1	B3		IMGT000045	-
Felis catus	TRAJ61	ORF	Felis catus T cell receptor alpha joining 61	1	B3		IMGT000045	-
Felis catus	TRAJ62	ORF	Felis catus T cell receptor alpha joining 62	1	B3		IMGT000045	-
Felis catus	TRAJ63	ORF	Felis catus T cell receptor alpha joining 63	1	B3		IMGT000045	-
Felis catus	TRAJ64	P	Felis catus T cell receptor alpha joining 64	1	B3		IMGT000045	-
Felis catus	TRAJ7	F	Felis catus T cell receptor alpha joining 7	1	B3		IMGT000045	-
Felis catus	TRAJ8	F	Felis catus T cell receptor alpha joining 8	1	B3		IMGT000045	-
Felis catus	TRAJ9	F	Felis catus T cell receptor alpha joining 9	1	B3		IMGT000045	-
Felis catus	TRAV10	F	Felis catus T cell receptor alpha variable 10	1	B3		IMGT000045	-
Felis catus	TRAV11	P	Felis catus T cell receptor alpha variable 11	1	B3		IMGT000045	-
Felis catus	TRAV12	F	Felis catus T cell receptor alpha variable 12	1	B3		IMGT000045	-
Felis catus	TRAV13-1	F	Felis catus T cell receptor alpha variable 13-1	1	B3		IMGT000045	-
Felis catus	TRAV13-2	P	Felis catus T cell receptor alpha variable 13-2	1	B3		IMGT000045	-
Felis catus	TRAV13-3	F	Felis catus T cell receptor alpha variable 13-3	1	B3		IMGT000045	-
Felis catus	TRAV14-1	P	Felis catus T cell receptor alpha variable 14-1	1	B3		IMGT000045	-
Felis catus	TRAV14-2	P	Felis catus T cell receptor alpha variable 14-2	1	B3		IMGT000045	-
Felis catus	TRAV14-3	P	Felis catus T cell receptor alpha variable 14-3	1	B3		IMGT000045	-
Felis catus	TRAV14-4	P	Felis catus T cell receptor alpha variable 14-4	1	B3		IMGT000045	-
Felis catus	TRAV14-5	F	Felis catus T cell receptor alpha variable 14-5	1	B3		IMGT000045	-
Felis catus	TRAV16	F	Felis catus T cell receptor alpha variable 16	1	B3		IMGT000045	-
Felis catus	TRAV17	F	Felis catus T cell receptor alpha variable 17	1	B3		IMGT000045	-
Felis catus	TRAV18	F	Felis catus T cell receptor alpha variable 18	1	B3		IMGT000045	-
Felis catus	TRAV19	F	Felis catus T cell receptor alpha variable 19	1	B3		IMGT000045	-
Felis catus	TRAV2	ORF	Felis catus T cell receptor alpha variable 2	1	B3		IMGT000045	-
Felis catus	TRAV20	P	Felis catus T cell receptor alpha variable 20	1	B3		IMGT000045	-
Felis catus	TRAV21	F	Felis catus T cell receptor alpha variable 21	1	B3		IMGT000045	-
Felis catus	TRAV22	ORF	Felis catus T cell receptor alpha variable 22	1	B3		IMGT000045	-
Felis catus	TRAV23	F	Felis catus T cell receptor alpha variable 23	1	B3		IMGT000045	-
Felis catus	TRAV24	F	Felis catus T cell receptor alpha variable 24	1	B3		IMGT000045	-
Felis catus	TRAV25	F	Felis catus T cell receptor alpha variable 25	1	B3		IMGT000045	-
Felis catus	TRAV26	ORF	Felis catus T cell receptor alpha variable 26	1	B3		IMGT000045	-
Felis catus	TRAV27	ORF	Felis catus T cell receptor alpha variable 27	1	B3		IMGT000045	-
Felis catus	TRAV28	ORF	Felis catus T cell receptor alpha variable 28	1	B3		IMGT000045	-
Felis catus	TRAV29	F	Felis catus T cell receptor alpha variable 29	1	B3		IMGT000045	-
Felis catus	TRAV3	F	Felis catus T cell receptor alpha variable 3	1	B3		IMGT000045	-
Felis catus	TRAV30	P	Felis catus T cell receptor alpha variable 30	1	B3		IMGT000045	-
Felis catus	TRAV31	P	Felis catus T cell receptor alpha variable 31	1	B3		IMGT000045	-
Felis catus	TRAV33	ORF	Felis catus T cell receptor alpha variable 33	1	B3		IMGT000045	-
Felis catus	TRAV34	ORF	Felis catus T cell receptor alpha variable 34	1	B3		IMGT000045	-
Felis catus	TRAV35	F	Felis catus T cell receptor alpha variable 35	1	B3		IMGT000045	-
Felis catus	TRAV36	ORF	Felis catus T cell receptor alpha variable 36	1	B3		IMGT000045	-
Felis catus	TRAV37	F	Felis catus T cell receptor alpha variable 37	1	B3		IMGT000045	-
Felis catus	TRAV38-1	F	Felis catus T cell receptor alpha variable 38-1	1	B3		IMGT000045	-
Felis catus	TRAV38-2	F	Felis catus T cell receptor alpha variable 38-2	1	B3		IMGT000045	-
Felis catus	TRAV39	P	Felis catus T cell receptor alpha variable 39	1	B3		IMGT000045	-
Felis catus	TRAV4	ORF	Felis catus T cell receptor alpha variable 4	1	B3		IMGT000045	-
Felis catus	TRAV40	F	Felis catus T cell receptor alpha variable 40	1	B3		IMGT000045	-
Felis catus	TRAV41	F	Felis catus T cell receptor alpha variable 41	1	B3		IMGT000045	-
Felis catus	TRAV43-1	F	Felis catus T cell receptor alpha variable 43-1	1	B3		IMGT000045	-
Felis catus	TRAV43-2	F	Felis catus T cell receptor alpha variable 43-2	1	B3		IMGT000045	-
Felis catus	TRAV43-3	F	Felis catus T cell receptor alpha variable 43-3	1	B3		IMGT000045	-
Felis catus	TRAV43-4	P	Felis catus T cell receptor alpha variable 43-4	1	B3		IMGT000045	-
Felis catus	TRAV43-5	P	Felis catus T cell receptor alpha variable 43-5	1	B3		IMGT000045	-
Felis catus	TRAV43-6	P	Felis catus T cell receptor alpha variable 43-6	1	B3		IMGT000045	-
Felis catus	TRAV46	F	Felis catus T cell receptor alpha variable 46	1	B3		IMGT000045	-
Felis catus	TRAV5	F	Felis catus T cell receptor alpha variable 5	1	B3		IMGT000045	-
Felis catus	TRAV6	F	Felis catus T cell receptor alpha variable 6	1	B3		IMGT000045	-
Felis catus	TRAV8-1	ORF	Felis catus T cell receptor alpha variable 8-1	1	B3		IMGT000045	-
Felis catus	TRAV8-2	F	Felis catus T cell receptor alpha variable 8-2	1	B3		IMGT000045	-
Felis catus	TRAV8-3	F	Felis catus T cell receptor alpha variable 8-3	1	B3		IMGT000045	-
Felis catus	TRAV8-4	F	Felis catus T cell receptor alpha variable 8-4	1	B3		IMGT000045	-
Felis catus	TRAV8-5	F	Felis catus T cell receptor alpha variable 8-5	1	B3		IMGT000045	-
Felis catus	TRAV8-6	F	Felis catus T cell receptor alpha variable 8-6	1	B3		IMGT000045	-
Felis catus	TRAV8-7	F	Felis catus T cell receptor alpha variable 8-7	1	B3		IMGT000045	-
Felis catus	TRAV9-1	P	Felis catus T cell receptor alpha variable 9-1	1	B3		IMGT000045	-
Felis catus	TRAV9-2	ORF	Felis catus T cell receptor alpha variable 9-2	1	B3		IMGT000045	-
Felis catus	TRAV9-3	F	Felis catus T cell receptor alpha variable 9-3	1	B3		IMGT000045	-
Felis catus	TRAV9-4	F	Felis catus T cell receptor alpha variable 9-4	1	B3		IMGT000045	-
Felis catus	TRAV9-5	F	Felis catus T cell receptor alpha variable 9-5	1	B3		IMGT000045	-
Felis catus	TRAV9-6	P	Felis catus T cell receptor alpha variable 9-6	1	B3		IMGT000045	-
Felis catus	TRAV9-7	F	Felis catus T cell receptor alpha variable 9-7	1	B3		IMGT000045	-
Felis catus	TRBC1	F	Felis catus T cell receptor beta constant 1	1	A2		IMGT000037	-
Felis catus	TRBC2	F	Felis catus T cell receptor beta constant 2	1	A2		IMGT000037	-
Felis catus	TRBD1	F	Felis catus T cell receptor beta diversity 1	1	A2		IMGT000037	-
Felis catus	TRBD2	F	Felis catus T cell receptor beta diversity 2	1	A2		IMGT000037	-
Felis catus	TRBJ1-1	F	Felis catus T cell receptor beta joining 1-1	1	A2		IMGT000037	-
Felis catus	TRBJ1-2	F	Felis catus T cell receptor beta joining 1-2	1	A2		IMGT000037	-
Felis catus	TRBJ1-3	ORF	Felis catus T cell receptor beta joining 1-3	1	A2		IMGT000037	-
Felis catus	TRBJ1-4	P	Felis catus T cell receptor beta joining 1-4	1	A2		IMGT000037	-
Felis catus	TRBJ1-5	F	Felis catus T cell receptor beta joining 1-5	1	A2		IMGT000037	-
Felis catus	TRBJ1-6	P	Felis catus T cell receptor beta joining 1-6	1	A2		IMGT000037	-
Felis catus	TRBJ2-1	F	Felis catus T cell receptor beta joining 2-1	1	A2		IMGT000037	-
Felis catus	TRBJ2-2	F	Felis catus T cell receptor beta joining 2-2	1	A2		IMGT000037	-
Felis catus	TRBJ2-3	F	Felis catus T cell receptor beta joining 2-3	1	A2		IMGT000037	-
Felis catus	TRBJ2-4	F	Felis catus T cell receptor beta joining 2-4	1	A2		IMGT000037	-
Felis catus	TRBJ2-5	P	Felis catus T cell receptor beta joining 2-5	1	A2		IMGT000037	-
Felis catus	TRBJ2-6	F	Felis catus T cell receptor beta joining 2-6	1	A2		IMGT000037	-
Felis catus	TRBV1	F	Felis catus T cell receptor beta variable 1	1	A2		IMGT000037	-
Felis catus	TRBV10	F	Felis catus T cell receptor beta variable 10	1	A2		IMGT000037	-
Felis catus	TRBV11	P	Felis catus T cell receptor beta variable 11	1	A2		IMGT000037	-
Felis catus	TRBV12-1	F	Felis catus T cell receptor beta variable 12-1	1	A2		IMGT000037	-
Felis catus	TRBV12-2	P	Felis catus T cell receptor beta variable 12-2	1	A2		IMGT000037	-
Felis catus	TRBV15	F	Felis catus T cell receptor beta variable 15	1	A2		IMGT000037	-
Felis catus	TRBV16	P	Felis catus T cell receptor beta variable 16	1	A2		IMGT000037	-
Felis catus	TRBV17	P	Felis catus T cell receptor beta variable 17	1	A2		IMGT000037	-
Felis catus	TRBV18	F	Felis catus T cell receptor beta variable 18	1	A2		IMGT000037	-
Felis catus	TRBV19	ORF	Felis catus T cell receptor beta variable 19	1	A2		IMGT000037	-
Felis catus	TRBV2	P	Felis catus T cell receptor beta variable 2	1	A2		IMGT000037	-
Felis catus	TRBV20	F	Felis catus T cell receptor beta variable 20	1	A2		IMGT000037	-
Felis catus	TRBV21	F	Felis catus T cell receptor beta variable 21	1	A2		IMGT000037	-
Felis catus	TRBV22	ORF	Felis catus T cell receptor beta variable 22	1	A2		IMGT000037	-
Felis catus	TRBV23	P	Felis catus T cell receptor beta variable 23	1	A2		IMGT000037	-
Felis catus	TRBV24	F	Felis catus T cell receptor beta variable 24	1	A2		IMGT000037	-
Felis catus	TRBV25	ORF	Felis catus T cell receptor beta variable 25	1	A2		IMGT000037	-
Felis catus	TRBV26	F	Felis catus T cell receptor beta variable 26	1	A2		IMGT000037	-
Felis catus	TRBV27	ORF	Felis catus T cell receptor beta variable 27	1	A2		IMGT000037	-
Felis catus	TRBV28	P	Felis catus T cell receptor beta variable 28	1	A2		IMGT000037	-
Felis catus	TRBV29	F	Felis catus T cell receptor beta variable 29	1	A2		IMGT000037	-
Felis catus	TRBV3	F	Felis catus T cell receptor beta variable 3	1	A2		IMGT000037	-
Felis catus	TRBV30	F	Felis catus T cell receptor beta variable 30	1	A2		IMGT000037	-
Felis catus	TRBV4-1	F	Felis catus T cell receptor beta variable 4-1	1	A2		IMGT000037	-
Felis catus	TRBV4-2	F	Felis catus T cell receptor beta variable 4-2	1	A2		IMGT000037	-
Felis catus	TRBV5-1	P	Felis catus T cell receptor beta variable 5-1	1	A2		IMGT000037	-
Felis catus	TRBV5-2	F	Felis catus T cell receptor beta variable 5-2	1	A2		IMGT000037	-
Felis catus	TRBV5-3	F	Felis catus T cell receptor beta variable 5-3	1	A2		IMGT000037	-
Felis catus	TRBV5-4	F	Felis catus T cell receptor beta variable 5-4	1	A2		IMGT000037	-
Felis catus	TRBV6	F	Felis catus T cell receptor beta variable 6	1	A2		IMGT000037	-
Felis catus	TRBV7-1	F	Felis catus T cell receptor beta variable 7-1	1	A2		IMGT000037	-
Felis catus	TRBV7-2	F	Felis catus T cell receptor beta variable 7-2	1	A2		IMGT000037	-
Felis catus	TRBV8	P	Felis catus T cell receptor beta variable 8	1	A2		IMGT000037	-
Felis catus	TRDC	F	Felis catus T cell receptor delta constant	1	B3		IMGT000045	-
Felis catus	TRDD1	F	Felis catus T cell receptor delta diversity 1	1	B3		IMGT000045	-
Felis catus	TRDD2	F	Felis catus T cell receptor delta diversity 2	1	B3		IMGT000045	-
Felis catus	TRDJ1	ORF	Felis catus T cell receptor delta joining 1	1	B3		IMGT000045	-
Felis catus	TRDJ2	ORF	Felis catus T cell receptor delta joining 2	1	B3		IMGT000045	-
Felis catus	TRDJ3	F	Felis catus T cell receptor delta joining 3	1	B3		IMGT000045	-
Felis catus	TRDJ4	F	Felis catus T cell receptor delta joining 4	1	B3		IMGT000045	-
Felis catus	TRDJ5	P	Felis catus T cell receptor delta joining 5	1	B3		IMGT000045	-
Felis catus	TRDV1	P	Felis catus T cell receptor delta variable 1	1	B3		IMGT000045	-
Felis catus	TRDV2	P	Felis catus T cell receptor delta variable 2	1	B3		IMGT000045	-
Felis catus	TRDV3	F	Felis catus T cell receptor delta variable 3	1	B3		IMGT000045	-
Felis catus	TRDV4	ORF	Felis catus T cell receptor delta variable 4	1	B3		IMGT000045	-
Felis catus	TRDV5-1	F	Felis catus T cell receptor delta variable 5-1	1	B3		IMGT000045	-
Felis catus	TRDV5-2	F	Felis catus T cell receptor delta variable 5-2	1	B3		IMGT000045	-
Felis catus	TRDV5-3	F	Felis catus T cell receptor delta variable 5-3	1	B3		IMGT000045	-
Felis catus	TRDV5-4	P	Felis catus T cell receptor delta variable 5-4	1	B3		IMGT000045	-
Felis catus	TRDV5-5	F	Felis catus T cell receptor delta variable 5-5	1	B3		IMGT000045	-
Felis catus	TRDV5-6	ORF	Felis catus T cell receptor delta variable 5-6	1	B3		IMGT000045	-
Felis catus	TRGC1	F	Felis catus T cell receptor gamma constant 1	1	A2		IMGT000036	-
Felis catus	TRGC2	F	Felis catus T cell receptor gamma constant 2	1	A2		IMGT000036	-
Felis catus	TRGC3	F	Felis catus T cell receptor gamma constant 3	1	A2		IMGT000036	-
Felis catus	TRGC4	F	Felis catus T cell receptor gamma constant 4	1	A2		IMGT000036	-
Felis catus	TRGC5	P	Felis catus T cell receptor gamma constant 5	1	A2		IMGT000036	-
Felis catus	TRGC6	P	Felis catus T cell receptor gamma constant 6	1	A2		IMGT000036	-
Felis catus	TRGJ1-1	P	Felis catus T cell receptor gamma joining 1-1	1	A2		IMGT000036	-
Felis catus	TRGJ1-2	F	Felis catus T cell receptor gamma joining 1-2	1	A2		IMGT000036	-
Felis catus	TRGJ2-1	P	Felis catus T cell receptor gamma joining 2-1	1	A2		IMGT000036	-
Felis catus	TRGJ2-2	F	Felis catus T cell receptor gamma joining 2-2	1	A2		IMGT000036	-
Felis catus	TRGJ2-3	P	Felis catus T cell receptor gamma joining 2-3	1	A2		IMGT000036	-
Felis catus	TRGJ3-1	P	Felis catus T cell receptor gamma joining 3-1	1	A2		IMGT000036	-
Felis catus	TRGJ3-2	F	Felis catus T cell receptor gamma joining 3-2	1	A2		IMGT000036	-
Felis catus	TRGJ4-1	P	Felis catus T cell receptor gamma joining 4-1	1	A2		IMGT000036	-
Felis catus	TRGJ5-1	ORF	Felis catus T cell receptor gamma joining 5-1	1	A2		IMGT000036	-
Felis catus	TRGJ5-2	P	Felis catus T cell receptor gamma joining 5-2	1	A2		IMGT000036	-
Felis catus	TRGJ6-1	ORF	Felis catus T cell receptor gamma joining 6-1	1	A2		IMGT000036	-
Felis catus	TRGJ6-2	F	Felis catus T cell receptor gamma joining 6-2	1	A2		IMGT000036	-
Felis catus	TRGV2-1	F	Felis catus T cell receptor gamma variable 2-1	1	A2		IMGT000036	-
Felis catus	TRGV2-2	F	Felis catus T cell receptor gamma variable 2-2	1	A2		IMGT000036	-
Felis catus	TRGV2-3	F	Felis catus T cell receptor gamma variable 2-3	1	A2		IMGT000036	-
Felis catus	TRGV2-4	F	Felis catus T cell receptor gamma variable 2-4	1	A2		IMGT000036	-
Felis catus	TRGV5-1	P	Felis catus T cell receptor gamma variable 5-1	1	A2		IMGT000036	-
Felis catus	TRGV5-2	P	Felis catus T cell receptor gamma variable 5-2	1	A2		IMGT000036	-
Felis catus	TRGV5-3	F	Felis catus T cell receptor gamma variable 5-3	1	A2		IMGT000036	-
Felis catus	TRGV5-4	P	Felis catus T cell receptor gamma variable 5-4	1	A2		IMGT000036	-
Felis catus	TRGV6-1	P	Felis catus T cell receptor gamma variable 6-1	1	A2		IMGT000036	-
Felis catus	TRGV7-1	F	Felis catus T cell receptor gamma variable 7-1	1	A2		IMGT000036	-
Felis catus	TRGVA	P	Felis catus T cell receptor gamma variable A	1	A2		IMGT000036	-
Felis catus	TRGVB	P	Felis catus T cell receptor gamma variable B	1	A2		IMGT000036	-
Gorilla gorilla gorilla	TRAC	F	Gorilla gorilla gorilla T cell receptor alpha constant	1	14		BK064837	-
Gorilla gorilla gorilla	TRAJ1	ORF	Gorilla gorilla gorilla T cell receptor alpha joining 1	1	14		BK064837	-
Gorilla gorilla gorilla	TRAJ10	F	Gorilla gorilla gorilla T cell receptor alpha joining 10	1	14		BK064837	-
Gorilla gorilla gorilla	TRAJ11	F	Gorilla gorilla gorilla T cell receptor alpha joining 11	1	14		BK064837	-
Gorilla gorilla gorilla	TRAJ12	F	Gorilla gorilla gorilla T cell receptor alpha joining 12	1	14		BK064837	-
Gorilla gorilla gorilla	TRAJ13	F	Gorilla gorilla gorilla T cell receptor alpha joining 13	1	14		BK064837	-
Gorilla gorilla gorilla	TRAJ14	ORF	Gorilla gorilla gorilla T cell receptor alpha joining 14	1	14		BK064837	-
Gorilla gorilla gorilla	TRAJ15	F	Gorilla gorilla gorilla T cell receptor alpha joining 15	1	14		BK064837	-
Gorilla gorilla gorilla	TRAJ16	ORF	Gorilla gorilla gorilla T cell receptor alpha joining 16	1	14		BK064837	-
Gorilla gorilla gorilla	TRAJ17	F	Gorilla gorilla gorilla T cell receptor alpha joining 17	1	14		BK064837	-
Gorilla gorilla gorilla	TRAJ18	F	Gorilla gorilla gorilla T cell receptor alpha joining 18	1	14		BK064837	-
Gorilla gorilla gorilla	TRAJ19	ORF	Gorilla gorilla gorilla T cell receptor alpha joining 19	1	14		BK064837	-
Gorilla gorilla gorilla	TRAJ2	ORF	Gorilla gorilla gorilla T cell receptor alpha joining 2	1	14		BK064837	-
Gorilla gorilla gorilla	TRAJ20	F	Gorilla gorilla gorilla T cell receptor alpha joining 20	2	14		BK064837	-
Gorilla gorilla gorilla	TRAJ21	F	Gorilla gorilla gorilla T cell receptor alpha joining 21	1	14		BK064837	-
Gorilla gorilla gorilla	TRAJ22	F	Gorilla gorilla gorilla T cell receptor alpha joining 22	1	14		BK064837	-
Gorilla gorilla gorilla	TRAJ23	F	Gorilla gorilla gorilla T cell receptor alpha joining 23	1	14		BK064837	-
Gorilla gorilla gorilla	TRAJ24	F	Gorilla gorilla gorilla T cell receptor alpha joining 24	1	14		BK064837	-
Gorilla gorilla gorilla	TRAJ25	F	Gorilla gorilla gorilla T cell receptor alpha joining 25	1	14		BK064837	-
Gorilla gorilla gorilla	TRAJ26	F  ORF  P	Gorilla gorilla gorilla T cell receptor alpha joining 26	3	14		BK064837	-
Gorilla gorilla gorilla	TRAJ27	F	Gorilla gorilla gorilla T cell receptor alpha joining 27	2	14		BK064837	-
